language,translation_key,primary_intent,canonical_path,secondary_queries,prohibited_competing_pages,evidence_gate,publication_status
he,home,אוכל ביתי בתל אביב,/,קומפלט 99; אוכל ביתי באבן גבירול; סביח וקובה בתל אביב,עמודי מנה ועמודי סיפור שמתחרים בכוונת הבית,פרטי המקום והתמונות דורשים אימות; אין טענות מחיר זמינות או כשרות ללא מקור,launch
en,home,home cooking in Tel Aviv,/en/,Complete99; home cooking on Ibn Gabirol; sabich and kubbeh in Tel Aviv,Dish and story pages competing for the homepage intent,Venue details and images require verification; no price availability or kosher claims without a source,launch
he,about,על קומפלט 99,/about/,הסיפור של קומפלט 99; המטבח של קומפלט 99,עמודי מסורת וסיפורי מנה שמתחרים בכוונת האודות,היסטוריה שמות ותאריכים דורשים אימות והרשאה,launch
en,about,about Complete99,/en/about/,Complete99 story; Complete99 kitchen,Tradition and dish story pages competing for the about intent,History names and dates require verification and permission,launch
he,contact,קומפלט 99 אבן גבירול 99,/contact/,כתובת קומפלט 99; טלפון קומפלט 99; איך מגיעים לקומפלט 99,עמוד הבית ועמודי מנה שמתחרים בכוונת ביקור וקשר,כתובת טלפון שעות וקישורי הזמנה דורשים בדיקה מול מקור חי,launch
en,contact,Complete99 99 Ibn Gabirol,/en/contact/,Complete99 address; Complete99 phone; visit Complete99,Homepage and dish pages competing for visit and contact intent,Address phone hours and ordering links require a live source check,launch
he,dishes,תפריט קומפלט 99,/dishes/,סביח קומפלט 99; קובה סלק תל אביב; אוכל ביתי קומפלט 99,עמודי מרכיב מסורת וחנות שמתחרים בכוונת התפריט,מנה ותמונה דורשות מקור בבעלות; מחיר זמינות אלרגנים וכשרות דורשים אימות נפרד,launch
en,dishes,Complete99 menu,/en/dishes/,Complete99 sabich; beet kubbeh Tel Aviv; Complete99 home cooking,Ingredient tradition and store pages competing for menu intent,Dish and image require an owned source; price availability allergens and kosher status need separate verification,launch
he,ingredients,מרכיבים במטבח הישראלי,/ingredients/,טחינה ועמבה; מדריך חצילים; חומרי גלם לסביח,עמודי מנה חנות ותגיות אוטומטיות שמתחרים בכוונת המרכיב,מידע אלרגנים תזונה בטיחות ומקור דורש בדיקה והקשר,launch
en,ingredients,Israeli kitchen ingredients,/en/ingredients/,tahini and amba; eggplant guide; sabich ingredients,Dish store and automated tag pages competing for ingredient intent,Allergen nutrition safety and origin information requires review and context,launch
he,traditions,מסורות אוכל יהודיות,/traditions/,אוכל יהודי לפי קהילות; מסורות של סביח וקובה; אוכל ביתי וזיכרון,עמודי מנה מדריכים ותגיות קהילה שמתחרים בכוונת המסורת,יש להפריד בין מקור מתועד זיכרון משפחתי ופרשנות; חומר משפחתי דורש הרשאה,launch
en,traditions,Jewish food traditions,/en/traditions/,Jewish food by community; sabich and kubbeh traditions; home cooking and memory,Dish guide and community tag pages competing for tradition intent,Separate documented sources family memory and interpretation; family material requires permission,launch
he,knowledge,מדריכים לאוכל ביתי,/knowledge/,מדריך סביח; מדריך קובה; טכניקות למטבח הביתי,עמודי מרכיב מסורת ומנה שמתחרים בכוונת המדריך,כל מדריך דורש כותב מקורות בדיקת מטבח תאריך ונתיב המשך שימושי,launch
en,knowledge,home cooking guides,/en/knowledge/,sabich guide; kubbeh guide; home kitchen techniques,Ingredient tradition and dish pages competing for guide intent,Every guide needs an author sources kitchen review date and useful next path,launch
he,store,המזווה של קומפלט 99,/store/,מוצרי מזווה ישראליים; טחינה ועמבה להזמנה; מארזי קומפלט 99,עמודי מרכיב ומדריכים שמתחרים בכוונת קנייה,אין מוצר מחיר מלאי עגלה תשלום משלוח או נתוני מוצר עד אימות סוחר מלאי ותפעול,product-demo
en,store,Complete99 pantry shop,/en/store/,Israeli pantry products; tahini and amba online; Complete99 pantry boxes,Ingredient and guide pages competing for purchase intent,No product price stock cart payment delivery or product data until merchant inventory and operations are verified,product-demo
he,proposal,הזמנת אוכל לקבוצות ולמשרדים,/request-proposal/,ארוחות למשרד בתל אביב; הזמנת אוכל לקבוצה; מגשי אירוח ואוכל ביתי למשרד,עמוד המנות ועמוד הקשר שמתחרים בכוונת הזמנה קבוצתית,העמוד אוסף מספר סועדים מועד תקציב וסגנון הגשה ומעביר שאלות אלרגנים לבדיקה אנושית,consumer
en,proposal,Group and workplace meal ordering,/en/request-proposal/,office meals Tel Aviv; group food order; home-style workplace catering,Dishes and contact pages competing for group ordering intent,The page collects headcount timing budget and service style and routes allergen questions to human review,consumer
he,privacy,מדיניות פרטיות קומפלט 99,/privacy/,פרטיות באתר קומפלט 99; שימוש במידע בטופס,תנאי שימוש וטפסים שמתחרים בכוונת מדיניות הפרטיות,המדיניות מתארת רק מידע ומערכות ציבוריות פעילות ואינה ממציאה תקופות שמירה,launch
en,privacy,Complete99 privacy policy,/en/privacy/,Complete99 website privacy; form information use,Terms and forms competing for privacy policy intent,The policy covers only active public information and systems and does not invent retention periods,launch
he,terms,תנאי שימוש קומפלט 99,/terms/,תנאי האתר קומפלט 99; כללי שימוש בתוכן,מדיניות פרטיות ותנאי מכר עתידיים שמתחרים בכוונת תנאי השימוש,אין תנאי מכר מחיר ישות משפטית או התחייבות מסחרית לפני אימות משפטי ותפעולי,launch
en,terms,Complete99 website terms,/en/terms/,Complete99 terms of use; website content rules,Privacy and future sale terms competing for terms intent,No sale terms price legal entity or commercial commitment before legal and operational verification,launch
he,accessibility,הצהרת נגישות קומפלט 99,/accessibility/,נגישות אתר קומפלט 99; דיווח על מחסום נגישות,עמוד קשר ומדיניות פרטיות שמתחרים בכוונת הצהרת הנגישות,יש לתאר את מצב האתר בפועל בלי לטעון לביקורת חיצונית או להסדר פיזי שלא אומת,launch
en,accessibility,Complete99 accessibility statement,/en/accessibility/,Complete99 website accessibility; report an accessibility barrier,Contact and privacy pages competing for accessibility statement intent,Describe the actual site state without claiming an external audit or unverified physical arrangements,launch
