"id","surface_class","locale","label","url","release_state","verification_status","evidence_source","notes"
"website-home-he","public_discovery","he","Hebrew website","https://a235232-tmp.s1242.upress.link/","live","live_http_and_chrome_verified","docs/releases/complete99-1.2.1.json","Current UPress production alias; desktop and mobile Chrome accepted"
"website-home-en","public_discovery","en","English website","https://a235232-tmp.s1242.upress.link/en/","live","live_http_and_chrome_verified","docs/releases/complete99-1.2.1.json","Current UPress production alias; desktop and mobile Chrome accepted"
"services-he","public_discovery","he","Services","https://a235232-tmp.s1242.upress.link/services/","live","live_http_verified","docs/releases/complete99-1.2.1.json","HTTP SEO and internal-link acceptance passed"
"services-en","public_discovery","en","Services","https://a235232-tmp.s1242.upress.link/en/services/","live","live_http_verified","docs/releases/complete99-1.2.1.json","HTTP SEO and internal-link acceptance passed"
"industries-he","public_discovery","he","Industries","https://a235232-tmp.s1242.upress.link/industries/","live","live_http_verified","docs/releases/complete99-1.2.1.json","HTTP SEO and internal-link acceptance passed"
"industries-en","public_discovery","en","Industries","https://a235232-tmp.s1242.upress.link/en/industries/","live","live_http_verified","docs/releases/complete99-1.2.1.json","HTTP SEO and internal-link acceptance passed"
"platform-he","public_discovery","he","Operations platform","https://a235232-tmp.s1242.upress.link/platform/","live","live_http_verified","docs/releases/complete99-1.2.1.json","Public capability tour only"
"platform-en","public_discovery","en","Operations platform","https://a235232-tmp.s1242.upress.link/en/platform/","live","live_http_verified","docs/releases/complete99-1.2.1.json","Public capability tour only"
"dishes-he","public_discovery","he","Dishes","https://a235232-tmp.s1242.upress.link/dishes/","live","live_http_and_chrome_verified","docs/releases/complete99-1.2.1.json","Truthful empty state; individual dossiers remain evidence and availability gated"
"dishes-en","public_discovery","en","Dishes","https://a235232-tmp.s1242.upress.link/en/dishes/","live","live_http_and_chrome_verified","docs/releases/complete99-1.2.1.json","Truthful empty state; individual dossiers remain evidence and availability gated"
"ingredients-he","public_discovery","he","Ingredients","https://a235232-tmp.s1242.upress.link/ingredients/","live","live_http_verified","docs/releases/complete99-1.2.1.json","Individual articles remain evidence gated"
"ingredients-en","public_discovery","en","Ingredients","https://a235232-tmp.s1242.upress.link/en/ingredients/","live","live_http_verified","docs/releases/complete99-1.2.1.json","Individual articles remain evidence gated"
"traditions-he","public_discovery","he","Traditions","https://a235232-tmp.s1242.upress.link/traditions/","live","live_http_verified","docs/releases/complete99-1.2.1.json","Individual articles remain evidence gated"
"traditions-en","public_discovery","en","Traditions","https://a235232-tmp.s1242.upress.link/en/traditions/","live","live_http_verified","docs/releases/complete99-1.2.1.json","Individual articles remain evidence gated"
"knowledge-he","public_discovery","he","Knowledge centre","https://a235232-tmp.s1242.upress.link/knowledge/","live","live_http_verified","docs/releases/complete99-1.2.1.json","HTTP SEO and internal-link acceptance passed"
"knowledge-en","public_discovery","en","Knowledge centre","https://a235232-tmp.s1242.upress.link/en/knowledge/","live","live_http_verified","docs/releases/complete99-1.2.1.json","HTTP SEO and internal-link acceptance passed"
"store-he","future_architecture","he","Store architecture","https://a235232-tmp.s1242.upress.link/store/","architecture_only_no_commerce","live_http_noindex_verified","docs/releases/complete99-1.2.1.json","No product ordering pricing stock payment delivery claim or checkout; absent from sitemap"
"store-en","future_architecture","en","Store architecture","https://a235232-tmp.s1242.upress.link/en/store/","architecture_only_no_commerce","live_http_noindex_verified","docs/releases/complete99-1.2.1.json","No product ordering pricing stock payment delivery claim or checkout; absent from sitemap"
"proposal-he","public_discovery","he","Request a proposal","https://a235232-tmp.s1242.upress.link/request-proposal/","live","live_http_verified","docs/releases/complete99-1.2.1.json","Form structure verified without submission"
"proposal-en","public_discovery","en","Request a proposal","https://a235232-tmp.s1242.upress.link/en/request-proposal/","live","live_http_verified","docs/releases/complete99-1.2.1.json","Form structure verified without submission"
"about-he","public_discovery","he","About","https://a235232-tmp.s1242.upress.link/about/","live","live_http_verified","docs/releases/complete99-1.2.1.json","HTTP SEO and internal-link acceptance passed"
"about-en","public_discovery","en","About","https://a235232-tmp.s1242.upress.link/en/about/","live","live_http_verified","docs/releases/complete99-1.2.1.json","HTTP SEO and internal-link acceptance passed"
"contact-he","public_discovery","he","Contact","https://a235232-tmp.s1242.upress.link/contact/","live","live_http_verified","docs/releases/complete99-1.2.1.json","Form structure verified without submission; contact details still require owner governance"
"contact-en","public_discovery","en","Contact","https://a235232-tmp.s1242.upress.link/en/contact/","live","live_http_verified","docs/releases/complete99-1.2.1.json","Form structure verified without submission; contact details still require owner governance"
"privacy-he","public_discovery","he","Privacy","https://a235232-tmp.s1242.upress.link/privacy/","live","live_http_verified","docs/releases/complete99-1.2.1.json","HTTP SEO and internal-link acceptance passed"
"privacy-en","public_discovery","en","Privacy","https://a235232-tmp.s1242.upress.link/en/privacy/","live","live_http_verified","docs/releases/complete99-1.2.1.json","HTTP SEO and internal-link acceptance passed"
"terms-he","public_discovery","he","Terms","https://a235232-tmp.s1242.upress.link/terms/","live","live_http_verified","docs/releases/complete99-1.2.1.json","HTTP SEO and internal-link acceptance passed"
"terms-en","public_discovery","en","Terms","https://a235232-tmp.s1242.upress.link/en/terms/","live","live_http_verified","docs/releases/complete99-1.2.1.json","HTTP SEO and internal-link acceptance passed"
"accessibility-he","public_discovery","he","Accessibility","https://a235232-tmp.s1242.upress.link/accessibility/","live","live_http_verified","docs/releases/complete99-1.2.1.json","HTTP SEO and internal-link acceptance passed"
"accessibility-en","public_discovery","en","Accessibility","https://a235232-tmp.s1242.upress.link/en/accessibility/","live","live_http_verified","docs/releases/complete99-1.2.1.json","HTTP SEO and internal-link acceptance passed"
"public-app-he","public_discovery","he","Sanitized operations application presentation","https://a235232-tmp.s1242.upress.link/app/","sanitized_product_demo","live_http_verified","docs/releases/complete99-1.2.1.json","No claim that private connectors are publicly available"
"public-app-en","public_discovery","en","Sanitized operations application presentation","https://a235232-tmp.s1242.upress.link/en/app/","sanitized_product_demo","live_http_verified","docs/releases/complete99-1.2.1.json","No claim that private connectors are publicly available"
"health","public_api","neutral","Health endpoint","https://a235232-tmp.s1242.upress.link/wp-json/complete99/v1/health","live","exact_health_verified","docs/releases/complete99-1.2.1.json","Version 1.2.1 deployment identity sync configuration and fresh read model verified"
"wordpress-rest","public_api","neutral","WordPress REST API","https://a235232-tmp.s1242.upress.link/wp-json/","live","live_http_verified","docs/releases/complete99-1.2.1.json","REST root advertises the Complete99 namespace and expected public routes"
"public-catalog","public_api","neutral","Complete99 public catalog","https://a235232-tmp.s1242.upress.link/wp-json/complete99/v1/public-catalog","live","exact_empty_readback_verified","docs/releases/complete99-1.2.1.json","complete99-os-v10; 0 items by design; digest c5dc6c34b9090382c4b99e343ca2ef50d5b1c699dcde1cef1ef9f61b4671d681; body SHA de0bf7c9368fa655c3de1719a492f4f3e80ce8ca7f13691f5718f0843e981691"
"xml-sitemap","public_discovery","neutral","XML sitemap","https://a235232-tmp.s1242.upress.link/wp-sitemap.xml","live","exact_sitemap_verified","docs/releases/complete99-1.2.1.json","All 30 public discovery routes present; zero live-dish locations is correct for the authoritative empty catalog"
"robots","public_discovery","neutral","Robots file","https://a235232-tmp.s1242.upress.link/robots.txt","live","exact_hash_verified","docs/releases/complete99-1.2.1.json","HTTP 200; SHA e8b68b16cc0b5d15bf5f626b3881c20db37f566057c321c0ef0c610eb1b21040"
"wordpress-repository","delivery_evidence","neutral","Complete99 WordPress repository","https://github.com/The-new-ben/complete99-wordpress","public_source","source_release_verified","docs/pipeline-acceptance-evidence.md","Public source and delivery workflows"
"release-commit","delivery_evidence","neutral","Production source commit","https://github.com/The-new-ben/complete99-wordpress/commit/20f455fd0c9505d925efb82aacc69bace9308172","public_source","source_release_verified","docs/releases/complete99-1.2.1.json","Exact source for version 1.2.1"
"main-ci-run","delivery_evidence","neutral","Protected-main validation run","https://github.com/The-new-ben/complete99-wordpress/actions/runs/30417568767","public_evidence","source_release_verified","docs/pipeline-acceptance-evidence.md","Exact merge commit admitted before production deployment"
"deployment-run","delivery_evidence","neutral","Production deployment run","https://github.com/The-new-ben/complete99-wordpress/actions/runs/30417601615","public_evidence","deployment_audit_verified","docs/releases/complete99-1.2.1.json","Deployment c99-prod-30417601615-1"
"future-canonical","future_architecture","neutral","Future canonical domain","https://complete99.co.il/","unconnected","not_current_live_target","docs/complete99-operating-brief.md","Do not use as canonical until DNS TLS redirects and destination are verified"
